Kabupaten / Kota,
,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota di Provinsi Jawa Tengah (Persen)
,2022
3300 PROVINSI JAWA TENGAH,5.57
3301 Kabupaten Cilacap,9.62
3302 Kabupaten Banyumas,6.05
3303 Kabupaten Purbalingga,5.23
3304 Kabupaten Banjarnegara,6.38
3305 Kabupaten Kebumen,5.92
3306 Kabupaten Purworejo,4.45
3307 Kabupaten Wonosobo,5.01
3308 Kabupaten Magelang,4.97
3309 Kabupaten Boyolali,4.92
3310 Kabupaten Klaten,4.31
3311 Kabupaten Sukoharjo,2.47
3312 Kabupaten Wonogiri,1.95
3313 Kabupaten Karanganyar,5.7
3314 Kabupaten Sragen,4.69
3315 Kabupaten Grobogan,4.4
3316 Kabupaten Blora,3.7
3317 Kabupaten Rembang,1.76
3318 Kabupaten Pati,4.45
3319 Kabupaten Kudus,3.21
3320 Kabupaten Jepara,4.1
3321 Kabupaten Demak,6.11
3322 Kabupaten Semarang,4.81
3323 Kabupaten Temanggung,2.54
3324 Kabupaten Kendal,7.34
3325 Kabupaten Batang,6.64
3326 Kabupaten Pekalongan,3.23
3327 Kabupaten Pemalang,6.63
3328 Kabupaten Tegal,9.64
3329 Kabupaten Brebes,9.48
3371 Kota Magelang,6.71
3372 Kota Surakarta,5.83
3373 Kota Salatiga,5.58
3374 Kota Semarang,7.6
3375 Kota Pekalongan,4.98
3376 Kota Tegal,6.68
