Kabupaten / Kota,
,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota di Provinsi Jawa Tengah (Persen)
,2021
3300 PROVINSI JAWA TENGAH,5.95
3301 Kabupaten Cilacap,9.97
3302 Kabupaten Banyumas,6.05
3303 Kabupaten Purbalingga,6.05
3304 Kabupaten Banjarnegara,5.86
3305 Kabupaten Kebumen,6.03
3306 Kabupaten Purworejo,3.59
3307 Kabupaten Wonosobo,5.26
3308 Kabupaten Magelang,5.03
3309 Kabupaten Boyolali,5.09
3310 Kabupaten Klaten,5.48
3311 Kabupaten Sukoharjo,3.32
3312 Kabupaten Wonogiri,2.43
3313 Kabupaten Karanganyar,5.89
3314 Kabupaten Sragen,4.76
3315 Kabupaten Grobogan,4.38
3316 Kabupaten Blora,3.81
3317 Kabupaten Rembang,3.67
3318 Kabupaten Pati,4.6
3319 Kabupaten Kudus,3.77
3320 Kabupaten Jepara,4.23
3321 Kabupaten Demak,5.28
3322 Kabupaten Semarang,5.02
3323 Kabupaten Temanggung,2.62
3324 Kabupaten Kendal,7.55
3325 Kabupaten Batang,6.59
3326 Kabupaten Pekalongan,4.28
3327 Kabupaten Pemalang,6.71
3328 Kabupaten Tegal,9.97
3329 Kabupaten Brebes,9.78
3371 Kota Magelang,8.73
3372 Kota Surakarta,7.85
3373 Kota Salatiga,7.26
3374 Kota Semarang,9.54
3375 Kota Pekalongan,6.89
3376 Kota Tegal,8.25
